This file was written by a simple STM32F0 SD card example.
More specifically, by build number 46, created on 20170223.
The example provides a simple temperature logger:
Time (ms), Temperature (°C)
00014500, 45.53
00014600, 45.53
00014700, 45.53
00014800, 45.34
00014900, 45.34
00015000, 44.78
00015100, 44.78
00015200, 44.78
00015300, 45.16
00015400, 45.34
00015500, 45.16
00015600, 45.34
00015700, 44.78
00015800, 44.78
00015900, 44.41
00016000, 44.78
00016100, 44.97
00016200, 45.34
00016300, 45.34
00016400, 45.34
00016500, 45.16
00016600, 44.78
00016700, 45.34
00016800, 45.53
00016900, 44.97
00017000, 45.34
00017100, 44.97
00017200, 45.34
00017300, 44.97
00017400, 44.78
00017500, 44.60
00017600, 44.78
00017700, 44.97
00017800, 44.60
00017900, 44.41
00018000, 45.34
00018100, 44.97
00018200, 45.34
00018300, 44.78
00018400, 45.34
00018500, 44.78
00018600, 44.78
00018700, 45.16
00018800, 44.97
00018900, 45.34
00019000, 44.78
00019100, 45.34
00019200, 45.16
00019300, 44.97
00019400, 44.78
00019500, 45.34
00019600, 44.78
00019700, 44.78
00019800, 45.16
00019900, 44.78
00020000, 44.97
00020100, 44.78
00020200, 44.78
00020300, 44.97
00020400, 44.97
00020500, 44.97
00020600, 44.97
00020700, 44.60
00020800, 44.78
00020900, 44.97
00021000, 45.16
00021100, 44.97
00021200, 44.60
00021300, 44.78
00021400, 44.78
00021500, 44.60
00021600, 44.60
00021700, 44.60
00021800, 44.97
00021900, 44.97
00022000, 45.53
00022100, 44.97
00022200, 45.34
00022300, 44.41
00022400, 44.97
00022500, 44.41
00022600, 45.16
00022700, 45.16
00022800, 44.78
00022900, 45.16
00023000, 44.78
00023100, 44.97
00023200, 44.97
00023300, 44.78
00023400, 45.34
00023500, 44.41
00023600, 44.97
00023700, 44.78
00023800, 44.78
00023900, 44.78
00024000, 45.16
00024100, 44.78
00024200, 44.60
00024300, 44.60
00024400, 44.97
00024500, 45.16
00024600, 45.34
00024700, 44.60
00024800, 44.78
00024900, 44.60
00025000, 45.16
00025100, 44.41
00025200, 44.97
00025300, 44.60
00025400, 44.97
00025500, 45.34
00025600, 45.34
00025700, 44.78
00025800, 45.16
00025900, 45.16
00026000, 44.78
00026100, 44.60
00026200, 45.16
00026300, 44.78
00026400, 44.78
00026500, 44.97
00026600, 44.60
00026700, 44.60
00026800, 44.78
00026900, 44.22
00027000, 45.16
00027100, 44.60
00027200, 44.97
00027300, 44.60
00027400, 44.60
00027500, 44.78
00027600, 45.16
00027700, 44.41
00027800, 45.16
00027900, 44.78
00028000, 44.97
00028100, 44.78
00028200, 44.03
00028300, 44.41
00028400, 45.16
00028500, 44.41
00028600, 44.97
00028700, 45.16
00028800, 44.78
00028900, 44.60
00029000, 44.60
00029100, 44.97
00029200, 44.97
00029300, 44.41
00029400, 44.97
00029500, 44.78
00029600, 44.41
00029700, 44.60
00029800, 45.16
00029900, 44.60
00030000, 44.78
00030100, 44.41
00030200, 44.41
00030300, 45.34
00030400, 44.78
00030500, 44.78
00030600, 44.78
00030700, 44.97
00030800, 44.41
00030900, 45.34
00031000, 44.78
00031100, 44.97
00031200, 44.78
00031300, 45.34
00031400, 44.78
00031500, 44.97
00031600, 44.97
00031700, 45.34
00031800, 45.34
00031900, 45.34
00032000, 44.97
00032100, 45.34
00032200, 44.97
00032300, 44.78
00032400, 45.16
00032500, 45.53
00032600, 45.72
00032700, 45.34
00032800, 45.34
00032900, 45.53
00033000, 45.16
00033100, 45.72
00033200, 45.72
00033300, 45.16
00033400, 45.91
00033500, 46.09
00033600, 46.09
00033700, 45.72
00033800, 46.09
00033900, 46.47
00034000, 45.91
00034100, 45.91
00034200, 45.72
00034300, 45.72
00034400, 45.53
00034500, 45.72
00034600, 45.72
00034700, 45.91
00034800, 46.47
00034900, 46.47
00035000, 46.47
00035100, 45.91
00035200, 46.09
00035300, 45.91
00035400, 45.91
00035500, 46.09
00035600, 46.47
00035700, 46.09
00035800, 46.66
00035900, 46.84
00036000, 46.66
00036100, 46.47
00036200, 46.47
00036300, 46.66
00036400, 46.66
00036500, 46.47
00036600, 46.66
00036700, 46.28
00036800, 46.47
00036900, 47.03
00037000, 46.66
00037100, 46.47
00037200, 46.84
00037300, 46.84
00037400, 47.03
00037500, 45.91
00037600, 47.22
00037700, 46.47
00037800, 46.66
00037900, 46.84
00038000, 46.66
00038100, 46.66
00038200, 46.84
00038300, 46.84
00038400, 46.66
00038500, 46.47
00038600, 47.03
00038700, 46.28
00038800, 46.66
00038900, 47.03
00039000, 47.41
00039100, 47.22
00039200, 47.03
00039300, 47.03
00039400, 47.59
00039500, 47.03
00039600, 47.59
00039700, 47.59
00039800, 47.41
00039900, 47.22
00040000, 47.41
00040100, 47.03
00040200, 47.22
00040300, 47.22
00040400, 47.03
00040500, 47.03
00040600, 47.59
00040700, 47.22
00040800, 47.41
00040900, 47.59
00041000, 47.59
00041100, 47.03
00041200, 47.59
00041300, 47.22
00041400, 47.03
00041500, 47.59
00041600, 47.03
00041700, 47.59
00041800, 47.59
00041900, 47.78
00042000, 47.78
00042100, 47.97
00042200, 47.97
00042300, 47.41
00042400, 47.41
00042500, 47.41
00042600, 47.59
00042700, 47.59
00042800, 47.97
00042900, 47.97
00043000, 47.78
00043100, 47.78
00043200, 47.78
00043300, 47.78
00043400, 48.34
00043500, 47.59
00043600, 47.97
00043700, 47.78
00043800, 47.41
00043900, 48.34
00044000, 47.78
00044100, 48.34
00044200, 47.97
00044300, 48.34
00044400, 48.34
00044500, 48.34
00044600, 47.78
00044700, 48.34
00044800, 48.34
00044900, 48.16
00045000, 47.97
00045100, 47.97
00045200, 48.34
00045300, 48.16
00045400, 48.16
00045500, 48.34
00045600, 47.97
00045700, 47.97
00045800, 47.78
00045900, 48.34
00046000, 48.53
00046100, 48.16
00046200, 48.91
00046300, 48.72
00046400, 48.72
00046500, 48.34
00046600, 48.53
00046700, 48.72
00046800, 48.91
00046900, 48.72
00047000, 48.91
00047100, 48.34
00047200, 48.53
00047300, 48.16
00047400, 48.91
00047500, 48.34
00047600, 48.53
00047700, 48.16
00047800, 48.16
00047900, 48.72
00048000, 48.34
00048100, 48.72
00048200, 48.53
00048300, 49.47
00048400, 48.53
00048500, 48.53
00048600, 48.34
00048700, 48.53
00048800, 48.91
00048900, 48.53
00049000, 48.91
00049100, 48.91
00049200, 49.28
00049300, 49.09
00049400, 49.09
00049500, 49.28
00049600, 48.72
00049700, 48.53
00049800, 48.72
00049900, 49.28
00050000, 49.28
00050100, 48.91
00050200, 48.91
00050300, 49.09
00050400, 48.72
00050500, 49.09
00050600, 49.09
00050700, 48.91
00050800, 49.47
00050900, 49.28
00051000, 49.65
00051100, 49.47
00051200, 49.47
00051300, 48.91
00051400, 49.28
00051500, 49.47
00051600, 48.91
00051700, 48.91
00051800, 48.72
00051900, 49.09
00052000, 49.09
00052100, 49.47
00052200, 49.65
00052300, 49.47
00052400, 49.65
00052500, 48.91
00052600, 49.09
00052700, 49.28
00052800, 49.47
00052900, 49.28
00053000, 49.47
00053100, 49.65
00053200, 49.28
00053300, 49.65
00053400, 49.28
00053500, 49.28
00053600, 49.84
00053700, 49.47
00053800, 49.84
00053900, 49.65
00054000, 49.28
00054100, 49.47
00054200, 49.47
00054300, 49.28
00054400, 49.28
00054500, 49.28
00054600, 49.84
00054700, 49.28
00054800, 49.09
00054900, 49.28
00055000, 50.03
00055100, 49.28
00055200, 49.47
00055300, 49.65
00055400, 49.28
00055500, 49.84
00055600, 49.84
00055700, 50.03
00055800, 49.84
00055900, 50.03
00056000, 50.40
00056100, 49.84
00056200, 50.59
00056300, 50.22
00056400, 49.65
00056500, 49.47
00056600, 50.22
00056700, 50.22
00056800, 50.03
00056900, 50.22
00057000, 49.84
00057100, 50.22
00057200, 50.03
00057300, 50.59
00057400, 50.03
00057500, 50.22
00057600, 49.65
00057700, 49.84
00057800, 50.22
00057900, 50.40
00058000, 50.03
00058100, 50.78
00058200, 50.03
00058300, 49.84
00058400, 50.40
00058500, 50.22
00058600, 50.03
00058700, 50.59
00058800, 50.22
00058900, 50.03
00059000, 50.03
00059100, 50.59
00059200, 50.40
00059300, 49.65
00059400, 50.40
00059500, 50.22
00059600, 50.78
00059700, 50.40
00059800, 49.84
00059900, 50.40
00060000, 50.78
00060100, 50.40
00060200, 50.78
00060300, 50.97
00060400, 51.15
00060500, 50.97
00060600, 49.65
00060700, 50.97
00060800, 50.40
00060900, 50.59
00061000, 50.40
00061100, 50.59
00061200, 50.78
00061300, 50.22
00061400, 50.78
00061500, 50.22
00061600, 50.78
00061700, 50.22
00061800, 50.40
00061900, 50.40
00062000, 50.97
00062100, 50.78
00062200, 50.97
00062300, 51.15
00062400, 50.97
00062500, 50.40
00062600, 50.59
00062700, 50.40
00062800, 50.59
00062900, 50.59
00063000, 50.22
00063100, 50.78
00063200, 51.15
00063300, 51.34
00063400, 50.59
00063500, 50.97
00063600, 50.40
00063700, 50.59
00063800, 50.40
00063900, 50.97
00064000, 50.97
00064100, 50.97
00064200, 50.97
00064300, 50.78
00064400, 50.40
00064500, 50.78
00064600, 51.34
00064700, 50.40
00064800, 50.97
00064900, 50.97
00065000, 50.97
00065100, 50.97
00065200, 50.78
00065300, 50.78
00065400, 50.97
00065500, 50.59
00065600, 51.53
00065700, 51.15
00065800, 51.34
00065900, 50.97
00066000, 50.97
00066100, 51.72
00066200, 50.97
00066300, 51.15
00066400, 50.78
00066500, 51.34
00066600, 51.53
00066700, 50.78
00066800, 51.34
00066900, 50.97
00067000, 51.34
00067100, 51.34
00067200, 51.72
00067300, 51.72
00067400, 50.97
00067500, 52.09
00067600, 51.15
00067700, 51.34
00067800, 51.53
00067900, 51.15
00068000, 51.15
00068100, 51.53
00068200, 51.34
00068300, 51.53
00068400, 51.53
00068500, 51.34
00068600, 51.34
00068700, 51.72
00068800, 50.97
00068900, 51.15
00069000, 51.53
00069100, 51.34
00069200, 51.53
00069300, 51.34
00069400, 51.53
00069500, 51.53
00069600, 51.90
00069700, 51.72
00069800, 51.53
00069900, 51.53
00070000, 51.72
00070100, 51.72
00070200, 51.53
00070300, 51.15
00070400, 51.72
00070500, 51.34
00070600, 51.34
00070700, 51.72
00070800, 51.90
00070900, 51.15
00071000, 51.53
00071100, 51.53
00071200, 51.53
00071300, 51.15
00071400, 51.72
00071500, 51.53
00071600, 51.72
00071700, 51.72
00071800, 51.53
00071900, 52.28
00072000, 51.72
00072100, 51.90
00072200, 52.09
00072300, 52.09
00072400, 51.72
00072500, 51.53
00072600, 52.47
00072700, 52.09
00072800, 52.28
00072900, 52.09
00073000, 51.72
00073100, 52.09
00073200, 51.72
00073300, 52.28
00073400, 51.90
00073500, 52.28
00073600, 52.28
00073700, 52.09
00073800, 51.72
00073900, 51.72
00074000, 51.53
00074100, 51.53
00074200, 51.53
00074300, 51.53
00074400, 51.53
00074500, 52.09
00074600, 52.09
00074700, 51.90
00074800, 51.90
00074900, 51.53
00075000, 51.90
00075100, 51.90
00075200, 52.09
00075300, 52.09
00075400, 52.47
00075500, 51.72
00075600, 52.28
00075700, 52.65
00075800, 52.28
00075900, 52.28
00076000, 52.09
00076100, 52.28
00076200, 52.09
00076300, 51.53
00076400, 52.47
00076500, 52.28
00076600, 51.90
00076700, 52.47
00076800, 51.90
00076900, 52.09
00077000, 52.09
00077100, 52.09
00077200, 52.28
00077300, 52.09
00077400, 52.09
00077500, 52.09
00077600, 51.90
00077700, 52.47
00077800, 52.47
00077900, 52.47
00078000, 51.53
00078100, 51.72
00078200, 51.53
00078300, 52.09
00078400, 51.34
00078500, 52.47
00078600, 52.28
00078700, 52.47
00078800, 52.09
00078900, 52.28
00079000, 52.47
00079100, 52.65
00079200, 52.28
00079300, 52.47
00079400, 52.47
00079500, 52.28
00079600, 52.28
00079700, 52.09
00079800, 52.28
00079900, 51.90
00080000, 52.47
00080100, 51.90
00080200, 52.47
00080300, 52.28
00080400, 52.84
00080500, 52.28
00080600, 52.47
00080700, 52.09
00080800, 52.47
00080900, 52.47
00081000, 52.28
00081100, 52.28
00081200, 52.28
00081300, 52.65
00081400, 52.47
00081500, 52.47
00081600, 53.03
00081700, 52.47
00081800, 52.28
00081900, 51.72
00082000, 52.47
00082100, 52.65
00082200, 52.28
00082300, 52.28
00082400, 52.65
00082500, 52.09
00082600, 52.28
00082700, 52.65
00082800, 52.84
00082900, 52.65
00083000, 52.84
00083100, 52.47
00083200, 52.47
00083300, 52.65
00083400, 53.03
00083500, 52.28
00083600, 52.47
00083700, 52.84
00083800, 52.84
00083900, 52.09
00084000, 52.47
00084100, 52.28
00084200, 52.47
00084300, 52.47
00084400, 52.65
00084500, 52.84
00084600, 53.40
00084700, 52.84
00084800, 52.28
00084900, 52.28
00085000, 52.84
00085100, 52.28
00085200, 52.84
00085300, 53.22
00085400, 52.84
00085500, 52.47
00085600, 52.84
00085700, 53.40
00085800, 52.28
00085900, 53.03
00086000, 52.65
00086100, 52.65
00086200, 52.28
00086300, 52.84
00086400, 52.47
00086500, 53.03
00086600, 52.84
00086700, 52.84
00086800, 53.03
00086900, 52.09
00087000, 52.65
00087100, 53.22
00087200, 52.65
00087300, 52.84
00087400, 52.84
00087500, 53.03
00087600, 52.65
00087700, 52.47
00087800, 53.03
00087900, 53.03
00088000, 53.22
00088100, 52.84
00088200, 52.84
00088300, 53.22
00088400, 52.84
00088500, 52.65
00088600, 52.47
00088700, 53.22
00088800, 53.03
00088900, 52.65
00089000, 52.65
00089100, 52.84
00089200, 53.22
00089300, 52.47
00089400, 52.47
00089500, 53.03
00089600, 52.84
00089700, 52.65
00089800, 53.59
00089900, 53.03
00090000, 53.22
00090100, 53.03
00090200, 53.22
00090300, 52.65
00090400, 52.65
00090500, 52.84
00090600, 52.84
00090700, 52.84
00090800, 52.65
00090900, 53.22
00091000, 53.22
00091100, 53.22
00091200, 53.03
00091300, 53.22
00091400, 53.03
00091500, 53.40
00091600, 53.22
00091700, 53.03
00091800, 53.03
00091900, 53.40
00092000, 52.84
00092100, 53.03
00092200, 53.03
00092300, 53.22
00092400, 53.22
00092500, 53.22
00092600, 53.40
00092700, 53.40
00092800, 53.40
00092900, 52.84
00093000, 53.22
00093100, 53.40
00093200, 53.22
00093300, 53.40
00093400, 53.03
00093500, 52.65
00093600, 53.59
00093700, 53.40
00093800, 53.03
00093900, 53.22
00094000, 53.03
00094100, 53.40
00094200, 53.03
00094300, 53.22
00094400, 53.22
00094500, 52.84
00094600, 53.22
00094700, 53.59
00094800, 53.59
00094900, 53.03
00095000, 53.03
00095100, 53.03
00095200, 53.22
00095300, 53.03
00095400, 53.78
00095500, 53.40
00095600, 53.22
00095700, 53.40
00095800, 53.03
00095900, 53.40
00096000, 53.03
00096100, 52.84
00096200, 53.03
00096300, 53.59
00096400, 53.22
00096500, 53.59
00096600, 53.59
00096700, 53.78
00096800, 53.03
00096900, 53.40
00097000, 53.22
00097100, 53.40
00097200, 53.03
00097300, 53.03
00097400, 53.59
00097500, 53.22
00097600, 53.03
00097700, 53.59
00097800, 53.78
00097900, 53.03
00098000, 53.59
00098100, 52.84
00098200, 53.22
00098300, 53.22
00098400, 53.78
00098500, 53.03
00098600, 53.03
00098700, 53.40
00098800, 53.40
00098900, 53.03
00099000, 53.03
00099100, 53.03
00099200, 53.59
00099300, 52.84
00099400, 53.40
00099500, 53.22
00099600, 53.40
00099700, 53.97
00099800, 53.40
00099900, 53.40
00100000, 53.22
00100100, 53.40
00100200, 53.97
00100300, 53.78
00100400, 53.22
00100500, 53.59
00100600, 53.40
00100700, 53.40
00100800, 53.40
00100900, 53.40
00101000, 53.40
00101100, 53.03
00101200, 53.97
00101300, 53.78
00101400, 53.40
00101500, 53.97
00101600, 53.59
00101700, 53.40
00101800, 53.59
00101900, 54.15
00102000, 53.40
00102100, 53.97
00102200, 53.40
00102300, 53.78
00102400, 53.40
00102500, 53.59
00102600, 53.59
00102700, 53.78
00102800, 53.59
00102900, 53.40
00103000, 53.40
00103100, 53.59
00103200, 53.59
00103300, 54.34
00103400, 53.40
00103500, 53.59
00103600, 53.78
00103700, 53.59
00103800, 53.03
00103900, 53.59
00104000, 53.03
00104100, 53.59
00104200, 53.40
00104300, 53.59
00104400, 53.59
00104500, 53.59
00104600, 53.40
00104700, 53.03
00104800, 53.59
00104900, 53.03
00105000, 52.84
00105100, 53.22
00105200, 53.03
00105300, 53.40
00105400, 53.03
00105500, 52.65
00105600, 53.40
00105700, 53.03
00105800, 53.40
00105900, 53.40
00106000, 53.03
00106100, 52.84
00106200, 53.40
00106300, 53.59
00106400, 53.22
00106500, 53.03
00106600, 53.03
00106700, 53.59
00106800, 53.59
00106900, 53.03
00107000, 53.22
00107100, 52.84
00107200, 53.22
00107300, 53.22
00107400, 52.84
00107500, 53.22
00107600, 52.47
00107700, 53.22
00107800, 52.84
00107900, 52.47
00108000, 53.59
00108100, 53.40
00108200, 52.84
00108300, 53.22
00108400, 52.65
00108500, 53.22
00108600, 53.22
00108700, 53.22
00108800, 53.59
00108900, 52.84
00109000, 53.22
00109100, 52.65
00109200, 52.28
00109300, 52.84
00109400, 52.65
00109500, 52.84
00109600, 53.03
00109700, 52.84
00109800, 52.84
00109900, 52.65
00110000, 52.84
00110100, 53.22
00110200, 52.47
00110300, 52.65
00110400, 53.03
00110500, 52.84
00110600, 52.28
00110700, 52.47
00110800, 52.47
00110900, 52.84
00111000, 52.65
00111100, 52.28
00111200, 52.84
00111300, 52.65
00111400, 52.65
00111500, 52.47
00111600, 52.84
00111700, 52.09
00111800, 52.65
00111900, 52.28
00112000, 53.22
00112100, 52.84
00112200, 52.28
00112300, 52.65
00112400, 52.28
00112500, 52.84
00112600, 52.65
00112700, 52.84
00112800, 52.65
00112900, 52.84
00113000, 52.28
00113100, 52.84
00113200, 52.65
00113300, 52.65
00113400, 52.84
00113500, 52.47
00113600, 52.84
00113700, 52.47
00113800, 52.65
00113900, 52.65
00114000, 52.84
00114100, 52.47
00114200, 52.65
00114300, 52.47
00114400, 52.28
00114500, 51.90
00114600, 52.47
00114700, 52.47
00114800, 52.84
00114900, 52.28
00115000, 52.47
00115100, 52.47
00115200, 52.28
00115300, 52.09
00115400, 53.03
00115500, 52.28
00115600, 52.84
00115700, 52.28
00115800, 52.47
00115900, 52.47
00116000, 52.09
00116100, 52.28
00116200, 52.28
00116300, 52.65
00116400, 52.09
00116500, 52.84
00116600, 52.28
00116700, 51.90
00116800, 52.28
00116900, 52.09
00117000, 52.28
00117100, 52.65
00117200, 52.28
00117300, 51.90
00117400, 52.28
00117500, 52.47
00117600, 51.90
00117700, 52.28
00117800, 52.47
00117900, 51.15
00118000, 52.09
00118100, 52.47
00118200, 52.28
00118300, 52.65
00118400, 52.09
00118500, 51.90
00118600, 52.09
00118700, 52.09
00118800, 52.09
00118900, 52.28
00119000, 51.90
00119100, 52.09
00119200, 51.90
00119300, 52.09
00119400, 52.09
00119500, 52.84
00119600, 52.47
00119700, 51.15
00119800, 51.72
00119900, 51.72
00120000, 51.90
00120100, 51.34
00120200, 52.28
00120300, 51.72
00120400, 52.28
00120500, 52.09
00120600, 52.09
00120700, 51.72
00120800, 52.47
00120900, 51.72
00121000, 52.09
00121100, 51.90
00121200, 52.09
00121300, 51.72
00121400, 51.53
00121500, 51.72
00121600, 51.90
00121700, 51.72
00121800, 51.53
00121900, 51.53
00122000, 51.53
00122100, 51.72
00122200, 51.72
00122300, 52.28
00122400, 51.53
00122500, 51.72
00122600, 51.72
00122700, 51.53
00122800, 51.72
00122900, 51.53
00123000, 51.34
00123100, 51.72
00123200, 51.72
00123300, 51.90
00123400, 51.34
00123500, 51.72
00123600, 50.97
00123700, 51.53
00123800, 51.15
00123900, 51.53
00124000, 51.34
00124100, 51.53
00124200, 51.53
00124300, 51.53
00124400, 51.53
00124500, 51.53
00124600, 51.72
00124700, 51.53
00124800, 51.53
00124900, 51.72
00125000, 51.72
00125100, 51.15
00125200, 51.53
00125300, 51.53
00125400, 51.72
00125500, 51.72
00125600, 52.09
00125700, 50.97
00125800, 51.34
00125900, 51.53
00126000, 51.53
00126100, 51.72
00126200, 51.34
00126300, 51.72
00126400, 51.72
00126500, 51.72
00126600, 50.97
00126700, 51.34
00126800, 51.53
00126900, 51.53
00127000, 50.97
00127100, 51.34
00127200, 51.34
00127300, 51.72
00127400, 51.15
00127500, 50.78
00127600, 51.34
00127700, 51.15
00127800, 51.34
00127900, 51.15
00128000, 50.97
00128100, 51.15
00128200, 51.15
00128300, 51.34
00128400, 51.53
00128500, 51.15
00128600, 51.34
00128700, 50.03
00128800, 51.15
00128900, 51.34
00129000, 51.15
00129100, 50.78
00129200, 51.34
00129300, 50.78
00129400, 50.59
00129500, 50.97
00129600, 50.97
00129700, 50.78
00129800, 50.78
00129900, 51.15
00130000, 51.15
00130100, 50.40
00130200, 50.78
00130300, 50.59
00130400, 50.97
00130500, 51.15
00130600, 50.97
00130700, 50.59
00130800, 50.78
00130900, 51.34
00131000, 50.78
00131100, 50.40
00131200, 50.97
00131300, 50.97
00131400, 50.97
00131500, 51.15
00131600, 50.40
00131700, 50.59
00131800, 50.40
00131900, 50.78
00132000, 50.97
00132100, 50.78
00132200, 50.78
00132300, 51.15
00132400, 50.59
00132500, 51.15
00132600, 50.97
00132700, 50.97
00132800, 50.59
00132900, 51.15
00133000, 50.97
00133100, 50.78
00133200, 50.97
00133300, 50.59
00133400, 50.22
00133500, 50.59
00133600, 50.40
00133700, 51.15
00133800, 50.78
00133900, 50.59
00134000, 50.59
00134100, 50.40
00134200, 50.40
00134300, 50.78
00134400, 50.59
00134500, 50.59
00134600, 50.40
00134700, 50.40
00134800, 50.59
00134900, 50.59
00135000, 50.22
00135100, 50.97
00135200, 51.15
00135300, 50.40
00135400, 50.40
00135500, 50.59
00135600, 50.22
00135700, 50.97
00135800, 50.40
00135900, 50.03
00136000, 51.15
00136100, 50.97
00136200, 50.78
00136300, 51.15
00136400, 50.59
00136500, 50.40
00136600, 50.40
00136700, 50.40
00136800, 50.59
00136900, 50.97
00137000, 50.78
00137100, 50.40
00137200, 50.40
00137300, 50.40
00137400, 50.97
00137500, 50.22
00137600, 50.40
00137700, 50.78
00137800, 50.03
00137900, 50.03
00138000, 50.97
00138100, 50.22
00138200, 50.97
00138300, 50.22
00138400, 50.40
00138500, 50.03
00138600, 50.59
00138700, 50.59
00138800, 50.59
00138900, 50.40
00139000, 50.40
00139100, 50.40
00139200, 50.40
00139300, 50.03
00139400, 50.22
00139500, 50.78
00139600, 49.65
00139700, 50.22
00139800, 50.59
00139900, 50.40
00140000, 50.40
00140100, 50.40
00140200, 50.03
00140300, 50.03
00140400, 50.03
00140500, 50.22
00140600, 50.22
00140700, 50.03
00140800, 50.22
00140900, 50.40
00141000, 50.03
00141100, 50.03
00141200, 50.03
00141300, 50.40
00141400, 50.59
00141500, 50.03
00141600, 49.84
00141700, 50.03
00141800, 50.03
00141900, 50.22
00142000, 50.03
00142100, 50.40
00142200, 49.65
00142300, 50.40
00142400, 50.22
00142500, 50.03
00142600, 49.65
00142700, 50.40
00142800, 50.59
00142900, 50.03
00143000, 50.59
00143100, 49.65
00143200, 50.22
00143300, 50.03
00143400, 49.84
00143500, 50.03
00143600, 50.40
00143700, 50.03
00143800, 50.03
00143900, 50.03
00144000, 49.84
00144100, 50.59
00144200, 49.65
00144300, 49.65
00144400, 50.03
00144500, 50.22
00144600, 49.65
00144700, 49.65
00144800, 50.22
00144900, 49.65
00145000, 49.84
00145100, 50.03
00145200, 49.65
00145300, 49.65
00145400, 49.65
00145500, 49.65
00145600, 50.03
00145700, 49.65
00145800, 50.03
00145900, 50.03
00146000, 50.40
00146100, 49.47
00146200, 49.84
00146300, 50.22
00146400, 49.47
00146500, 49.84
00146600, 50.03
00146700, 50.22
00146800, 49.47
00146900, 50.22
00147000, 49.84
00147100, 49.84
00147200, 49.47
00147300, 49.84
00147400, 49.65
00147500, 49.28
00147600, 49.65
00147700, 49.84
00147800, 49.65
00147900, 50.22
00148000, 49.28
00148100, 49.28
00148200, 49.47
00148300, 49.65
00148400, 49.47
00148500, 49.84
00148600, 50.22
00148700, 49.65
00148800, 49.47
00148900, 49.28
00149000, 49.84
00149100, 50.22
00149200, 49.47
00149300, 49.47
00149400, 50.03
00149500, 49.09
00149600, 49.84
00149700, 49.28
00149800, 49.28
00149900, 50.03
00150000, 49.65
00150100, 49.47
00150200, 49.47
00150300, 49.28
00150400, 49.28
00150500, 49.28
00150600, 49.84
00150700, 49.28
00150800, 50.03
00150900, 49.65
00151000, 49.47
00151100, 49.65
00151200, 49.28
00151300, 49.65
00151400, 50.03
00151500, 49.47
00151600, 49.28
00151700, 49.47
00151800, 49.47
00151900, 50.03
00152000, 49.84
00152100, 49.65
00152200, 49.65
00152300, 49.47
00152400, 49.84
00152500, 49.65
00152600, 49.84
00152700, 49.47
00152800, 49.84
00152900, 49.28
00153000, 49.28
00153100, 49.47
00153200, 49.47
00153300, 49.47
00153400, 49.47
00153500, 49.47
00153600, 49.65
00153700, 49.65
00153800, 49.47
00153900, 49.84
